SID,(SKU FOR SCANAPP),(TN FOR SCANAPP)
S7X1ZT1213,20070002,TN-01001911
S7X1ZT0409,20070007,TN-01003091
S7X1ZT0410,20070008,TN-01003092
S7X1ZT1250,20070028,TN-01001050
S7X1ZT0416,20080027,TN-01001323
S7X1ZT0412,20100028,TN-01003407
S7X1ZT0414,20100029,TN-01003320
S7X1ZT0497,20110005,TN-01003031
S7X1ZT0653,20110021,TN-01001077
S7X1ZT0491,20110024,TN-01001074
S7X1ZT0654,20110025,TN-01001332
S7X1ZT0482,20110054,TN-01001056
S7X1ZT0481,20110061,TN-01001057
S7X1ZT0505,20110065,TN-01001071
S7X1ZT0485,20110068,TN-01001062
S7X1ZT0486,20110075,TN-01001072
S7X1ZT0489,20110083,TN-01001136
S7X1ZT0495,20120009,TN-01001053
S7X1ZT0480,20120023,TN-01001065
S7X1ZT0790,20120027,TN-01001026
S7X1ZT0791,20120027,TN-01001027
S7X1ZT0795,20120027,TN-01001028
S7X1ZT0799,20120027,TN-01001029
S7X1ZT0800,20120027,TN-01001030
S7X1ZT0801,20120027,TN-01001031
S7X1ZT0802,20120027,TN-01001032
S7X1ZT0803,20120027,TN-01001033
S7X1ZT0804,20120027,TN-01001034
S7X1ZT0805,20120027,TN-01001035
S7X1ZT0478,20120035,TN-01001063
S7X1ZT0017,21010031,TN-01001497
S7X1ZT0018,21010032,TN-01003408
S7X1ZT0490,21010061,TN-01001078
S7X1ZT0656,21010062,TN-01003079
S7X1ZT0415,21020022,TN-01001326
S7X1ZT0657,21020023,TN-01003002
S7X1ZT0488,21020047,TN-01001045
S7X1ZT0418,21020054,TN-01003314
S7X1ZT0413,21020055,TN-01003322
S7X1ZT0504,21020069,TN-01001054
S7X1ZT0403,21020074,TN-01001073
S7X1ZT0499,21030014,TN-01001324
S7X1ZT0501,21030033,TN-01001042
S7X1ZT0500,21030038,TN-01001070
S7X1ZT0528,21030039,TN-01001069
S7X1ZT0492,21030041,TN-01001059
S7X1ZT0502,21030042,TN-01001066
S7X1ZT0496,21030043,TN-01001137
S7X1ZT0483,21030046,TN-01001068
S7X1ZT0405,21030051,TN-01001060
S7X1ZT0530,21030053,TN-01001051
S7X1ZT0484,21030056,TN-01001055
S7X1ZT0515,21040001,TN-01001061
S7X1ZT0514,21040003,TN-01001058
S7X1ZT0498,21040007,TN-01001076
S7X1ZT0658,21040008,TN-01003036
S7X1ZT0493,21040009,TN-01001067
S7X1ZT0494,21040010,TN-01003064
S7X1ZT0507,21040018,TN-01003065
S7X1ZT0406,21040025,TN-01003096
S7X1ZT0404,21040031,TN-01001082
S7X1ZT0411,21040032,TN-01002999
S7X1ZT0417,21040046,TN-01003305
S7X1ZT0487,21040051,TN-01003066
S7X1ZT0479,21040060,TN-01001064
S7X1ZT0503,21040062,TN-01001075
S7X1ZT0659,21040069,TN-01003044
S7X1ZT0524,21050008,TN-01001132
S7X1ZT0660,21050008,TN-01001132
S7X1ZT0506,21050021,TN-01001126
S7X1ZT0446,21050024,TN-01001146
S7X1ZT0526,21050043,TN-01003156
S7X1ZT0539,21050044,TN-01001319
S7X1ZT0533,21050045,TN-01001318
S7X1ZT0508,21050070,TN-01001337
S7X1ZT0522,21050074,TN-01001133
S7X1ZT0523,21050075,TN-01003130
S7X1ZT0509,21050105,TN-01001147
S7X1ZT0511,21050106,TN-01001317
S7X1ZT0510,21050107,TN-01003152
S7X1ZT0407,21050110,TN-01001402
S7X1ZT0536,21050127,TN-01001328
S7X1ZT0516,21050128,TN-01001329
S7X1ZT0535,21050129,TN-01003171
S7X1ZT0016,21060013,TN-01001140
S7X1ZT0022,21060016,TN-01001138
S7X1ZT0027,21060021,TN-01001139
S7X1ZT1006,21060027,TN-01001141
S7X1ZT0419,21060028,TN-01001142
S7X1ZT0661,21060032,TN-01001144
S7X1ZT0662,21060033,TN-01001143
S7X1ZT0534,21060034,TN-01001145
S7X1ZT0642,21060056,TN-01001128
S7X1ZT0706,21060060,TN-01001129
S7X1ZT0467,21060061,TN-01001135
S7X1ZT0708,21060062,TN-01001131
S7X1ZT0707,21060063,TN-01001134
S7X1ZT0383,21060064,TN-01003126
S7X1ZT1030,21060067,TN-01001127
S7X1ZT1031,21060068,TN-01001130
S7X1ZT0518,21060095,TN-01001336
S7X1ZT0552,21060098,TN-01003173
S7X1ZT0521,21060103,TN-01001331
S7X1ZT0529,21060104,TN-01003172
S7X1ZT0513,21060105,TN-01003178
S7X1ZT0537,21060113,TN-01001325
S7X1ZT0555,21060128,TN-01003225
S7X1ZT0557,21060130,TN-01001335
S7X1ZT0540,21060133,TN-01001359
S7X1ZT0026,21060139,TN-01003197
S7X1ZT0663,21060140,TN-01001358
S7X1ZT0558,21070001,TN-01003229
S7X1ZT0546,21070002,TN-01001360
S7X1ZT0664,21070004,TN-01003205
S7X1ZT0544,21070006,TN-01001361
S7X1ZT0538,21070013,TN-01001363
S7X1ZT0545,21070014,TN-01001364
S7X1ZT0023,21070022,TN-01004018
S7X1ZT0543,21070029,TN-01003251
S7X1ZT0547,21070030,TN-01001373
S7X1ZT0666,21070032,TN-01003252
S7X1ZT0408,21070033,TN-01001376
S7X1ZT0525,21070034,TN-01001377
S7X1ZT0428,21070035,TN-01001375
S7X1ZT0549,21070037,TN-01001368
S7X1ZT0531,21070042,TN-01001369
S7X1ZT0519,21070043,TN-01001367
S7X1ZT0560,21070044,TN-01001371
S7X1ZT0527,21070047,TN-01003243
S7X1ZT0422,21070048,TN-01003234
S7X1ZT0520,21070053,TN-01001370
S7X1ZT0423,21070055,TN-01001365
S7X1ZT0532,21070061,TN-01003241
S7X1ZT0553,21070063,TN-01001374
S7X1ZT0548,21070070,TN-01003233
S7X1ZT0542,21070071,TN-01001372
S7X1ZT0424,21070073,TN-01001366
S7X1ZT0667,21080001,TN-01001378
S7X1ZT0668,21080019,TN-01003290
S7X1ZT0669,21080021,TN-01001379
S7X1ZT0670,21080022,TN-01001387
S7X1ZT0541,21080023,TN-01003283
S7X1ZT0430,21080025,TN-01001388
S7X1ZT0959,21080026,TN-01001381
S7X1ZT0561,21080027,TN-01001382
S7X1ZT0556,21080028,TN-01001380
S7X1ZT0551,21080029,TN-01003280
S7X1ZT0037,21080030,TN-01001494
S7X1ZT0671,21080033,TN-01001383
